Time,Time Code,Country Name,Country Code,Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],Age dependency ratio old (% of working-age population) [SP.POP.DPND.OL],Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Inflation consumer prices (annual %) [FP.CPI.TOTL.ZG],Inflation GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG],Adjusted savings: net national savings (% of GNI) [NY.ADJ.NNAT.GN.ZS],Coverage of unemployment benefits and ALMP (% of population) [per_lm_alllm.cov_pop_tot],Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Government expenditure per student tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS],Government expenditure on education total (% of GDP) [SE.XPD.TOTL.GD.ZS],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],Net lending (+) / net borrowing (-) (% of GDP) [GC.NLD.TOTL.GD.ZS]
1962,YR1962,Denmark,DNK,..,16.9607500319783,0.778454921649097,109.693816379514,28.3545913948904,..,7.37781954818462,..,..,..,..,..,..,..,..,..
1962,YR1962,Estonia,EST,..,16.2412080134679,1.34156955956572,29.2904694503421,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Finland,FIN,..,12.0595229045084,0.679995399829919,14.7458649331889,10.2633607951832,..,4.38398278172672,3.9739449888867,..,..,..,..,..,..,..,..
1962,YR1962,France,FRA,..,19.0901346304065,1.39652313684302,87.4869495184142,21.7773079021867,..,5.33128007065638,4.89629361138523,..,..,..,..,..,..,..,..
1962,YR1962,Germany,DEU,..,17.9622467037753,0.879431691508147,212.029284220777,9.45199445641805,..,2.84328008602129,..,..,..,..,..,..,..,..,..
1962,YR1962,Greece,GRC,..,11.1564144499443,0.595777103319398,65.5409852598914,22.8373081092816,..,-0.475428291049975,4.69018080898951,..,..,..,..,..,..,..,..
1962,YR1962,Hungary,HUN,..,14.422696057773,0.322661285045066,111.772206176405,18.2626274954198,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Ireland,IRL,..,19.5153729234863,0.411628631985577,41.1678037451009,23.9844854639375,..,4.26372712149085,..,..,..,..,..,..,..,..,..
1962,YR1962,Israel,ISR,14.6082337317397,8.4392210543663,4.82451753282139,105.961182994455,46.6651112080244,..,9.40819406826559,8.90159191318978,..,..,..,..,..,..,0,..
1962,YR1962,Italy,ITA,..,14.9782651440308,0.676622989670017,172.994627860324,16.4074454421186,..,4.69114360740474,5.79372991590641,..,..,..,..,..,..,..,..
1962,YR1962,Japan,JPN,..,8.88589150944697,0.929166208260758,258.884646850286,43.2279565588362,..,6.83544034819732,4.19957756961355,..,..,..,..,..,..,..,..
1962,YR1962,Korea,PRK,..,5.4354440989826,1.75159523510555,98.594186529358,5.80956804427595,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Korea,KOR,12.7152462690647,6.49633969483811,2.85932081160452,274.860356624508,23.0689438362948,..,6.61831097492388,16.7234803310093,..,..,..,..,..,..,..,..
1962,YR1962,Latvia,LVA,..,15.8707763498812,1.33380931662705,35.0759855939289,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Lithuania,LTU,..,12.9111168718993,1.3997309541126,45.6820357370772,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Luxembourg,LUX,..,16.5391778480631,1.22493081884298,..,..,..,0.895946647339812,3.89466767618605,..,..,..,..,..,..,..,..
