"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2000","2000","CHLD","Children","0","Units",,,1.78,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2001","2001","CHLD","Children","0","Units",,,1.66,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2002","2002","CHLD","Children","0","Units",,,1.63,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2003","2003","CHLD","Children","0","Units",,,1.62,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2004","2004","CHLD","Children","0","Units",,,1.66,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2005","2005","CHLD","Children","0","Units",,,1.62,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2006","2006","CHLD","Children","0","Units",,,1.64,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2007","2007","CHLD","Children","0","Units",,,1.61,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2008","2008","CHLD","Children","0","Units",,,1.6,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2009","2009","CHLD","Children","0","Units",,,1.59,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2010","2010","CHLD","Children","0","Units",,,1.63,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2011","2011","CHLD","Children","0","Units",,,1.51,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2012","2012","CHLD","Children","0","Units",,,1.57,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2013","2013","CHLD","Children","0","Units",,,1.55,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2014","2014","CHLD","Children","0","Units",,,1.5,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2015","2015","CHLD","Children","0","Units",,,1.47,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2016","2016","CHLD","Children","0","Units",,,1.41,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2017","2017","CHLD","Children","0","Units",,,1.39,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2018","2018","CHLD","Children","0","Units",,,1.38,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2019","2019","CHLD","Children","0","Units",,,1.34,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","2020","2020","CHLD","Children","0","Units",,,1.37,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1960","1960","CHLD","Children","0","Units",,,3.12,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1961","1961","CHLD","Children","0","Units",,,3.22,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1962","1962","CHLD","Children","0","Units",,,3.18,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1963","1963","CHLD","Children","0","Units",,,3.19,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1964","1964","CHLD","Children","0","Units",,,3.17,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1965","1965","CHLD","Children","0","Units",,,3.04,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1966","1966","CHLD","Children","0","Units",,,2.9,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1967","1967","CHLD","Children","0","Units",,,2.81,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1968","1968","CHLD","Children","0","Units",,,2.72,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1969","1969","CHLD","Children","0","Units",,,2.75,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1970","1970","CHLD","Children","0","Units",,,2.57,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1971","1971","CHLD","Children","0","Units",,,2.36,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1972","1972","CHLD","Children","0","Units",,,2.15,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1973","1973","CHLD","Children","0","Units",,,1.9,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1974","1974","CHLD","Children","0","Units",,,1.77,,
